EXCHANGE,BASE,QUOTE
ascendex,FTM,USDT
ascendex,FTM,BTC
ascendex,DOS,USDT
ascendex,DOS,BTC
ascendex,HT,ETH
ascendex,HT,USDT
ascendex,HT,BTC
ascendex,BOLT,USDT
ascendex,BOLT,BTC
ascendex,CHX,USDT
ascendex,CHX,BTC
ascendex,CHX,ETH
ascendex,LBA,USDT
ascendex,KCS,USDT
ascendex,KCS,BTC
ascendex,ETZ,USDT
ascendex,ETZ,BTC
ascendex,DUO,USDT
ascendex,DUO,BTC
ascendex,VALOR,USDT
ascendex,CELR,USDT
ascendex,CELR,BTC
ascendex,MIX,USDT
ascendex,BHD,USDT
ascendex,BHD,BTC
ascendex,FSN,USDT
ascendex,FSN,BTC
ascendex,ABBC,USDT
ascendex,ABBC,BTC
ascendex,OKB,USDT
ascendex,OKB,BTC
ascendex,ASDP,USDT
ascendex,ASDP,BTC
ascendex,DREP,USDT
ascendex,DREP,BTC
ascendex,BAT,USDT
ascendex,ELF,USDT
ascendex,IOST,USDT
ascendex,ZIL,USDT
ascendex,ZRX,USDT
ascendex,ADA,USDT
ascendex,ADA,BTC
ascendex,ADA,ETH
ascendex,DASH,USDT
ascendex,DASH,BTC
ascendex,DASH,ETH
ascendex,GT,USDT
ascendex,GT,BTC
ascendex,GT,ETH
ascendex,ALGO,USDT
ascendex,ALGO,BTC
ascendex,YAP,USDT
ascendex,YAP,BTC
ascendex,STPT,USDT
ascendex,STPT,BTC
ascendex,MATIC,USDT
ascendex,MATIC,BTC
ascendex,CHR,USDT
ascendex,CHR,BTC
ascendex,CHR,ETH
ascendex,COTI,USDT
ascendex,COTI,BTC
ascendex,XEM,USDT
ascendex,XEM,BTC
ascendex,XEM,ETH
ascendex,NEO,ETH
ascendex,OKB,ETH
ascendex,ATOM,USDT
ascendex,ATOM,BTC
ascendex,ATOM,ETH
ascendex,LINK,USDT
ascendex,LINK,BTC
ascendex,LINK,ETH
ascendex,LAMBS,USDT
ascendex,LAMBS,BTC
ascendex,LAMBS,ETH
ascendex,CHZ,USDT
ascendex,CHZ,BTC
ascendex,DEEP,USDT
ascendex,DEEP,BTC
ascendex,RVN,BTC
ascendex,HPB,USDT
ascendex,HPB,BTC
ascendex,FTT,USDT
ascendex,FTT,BTC
ascendex,MITX,USDT
ascendex,MITX,BTC
ascendex,ONE,USDT
ascendex,ONE,BTC
